Tweet,Date,Time,Favourite Count
"T-shirt is bulletproof &amp; makes u buff!
https://t.co/wO0oAakclu https://t.co/8k1WvVO1sm",14-01-2020,17:59:16,49773
@rhoehn @Tesla Thanks for mentioning! We should’ve done this ages ago.,14-01-2020,02:01:23,7618
"@ramez @KHayhoe Good analysis, although a bit conservative imo. However, using a high upper bound for land area tha… https://t.co/IoS4oFooc5",13-01-2020,18:47:40,3619
.@Space_Station https://t.co/1qD2qn0waJ,12-01-2020,08:30:15,20963
"RT @yousuck2020: [WANTED!!!] 
Why not be the ‘first woman’ to travel to the moon?
#MZ_looking_for_love 
https://t.co/R5VEMXwggl https://t.c…",12-01-2020,08:27:01,0
@Kristennetten They will,12-01-2020,03:44:57,4662
@Mafaruk_Bagwan We need more emojis!!,12-01-2020,03:42:46,1546
"And, of course, your car will be able to 💨 in their general direction",12-01-2020,03:24:43,37593
@theXential For sure!! This will make for some epic robber confusion 🤣🤣,12-01-2020,03:23:25,7277
Teslas will soon talk to people if you want. This is real. https://t.co/8AJdERX5qa,12-01-2020,03:20:41,157023
@bluemoondance74 @flcnhvy @SpaceX Should be able to post video of Raptor on Tripod soon,12-01-2020,02:25:08,1253
"@flcnhvy @nextspaceflight @SmileSimplify @SpaceX Ok, tho could be gnarly",12-01-2020,02:09:29,2015
@nextspaceflight @SmileSimplify @SpaceX Destroyed in Dragon fire,12-01-2020,00:03:58,2666
"@SmileSimplify @SpaceX We tried to design a way to save B1046, but not possible 😞",12-01-2020,00:01:43,2264
Critical test launch before flying astronauts is green for Jan 18 https://t.co/r4mcuCfCil,11-01-2020,23:55:38,19939
@strangecosmos @annerajb Soon,11-01-2020,16:12:39,2385
@annerajb Hard gothic,11-01-2020,15:39:02,7578
@d1rtydan Haha,11-01-2020,15:32:44,2063
We are trapped in a prison of fonts,11-01-2020,15:30:02,107901
@flcnhvy @Erdayastronaut @BocaChicaGal @NASASpaceflight Yes,11-01-2020,02:40:20,1455
@RQuiddich Every tank under pressure is a balloon tank — it’s just question of degree. Starship tanks are not ballo… https://t.co/V5L2xulQE4,10-01-2020,23:26:33,1438
"@Erdayastronaut @BocaChicaGal @NASASpaceflight Everything is compressible, but liquid compression at these pressure… https://t.co/ftOXmNRWGH",10-01-2020,23:24:10,1881
@Erdayastronaut @BocaChicaGal @NASASpaceflight A given tank pressure is needed to feed the engine turbopumps &amp; pres… https://t.co/GkhvwOIzQz,10-01-2020,23:20:50,1841
"@Erdayastronaut @BocaChicaGal @NASASpaceflight Dome to barrel weld made it to 7.1 bar, which is pretty good as ~6 b… https://t.co/VvhRqSIrvk",10-01-2020,19:38:01,4562
@rainnwilson Great idea,10-01-2020,17:07:26,17590
@Ye4bu @AyyAnge 🔥 &amp; ⚡️,10-01-2020,10:12:56,9469
🎶 Toss a coin to ur Witcher 🎶,10-01-2020,09:57:08,218659
Phony https://t.co/w9nyOAxQus,10-01-2020,07:19:46,225282
@Nicoo_Correa Haha true,10-01-2020,07:09:34,7376
@thirdrowtesla True,10-01-2020,07:06:29,1275
@universal_sci The sun is green (peak photon frequency),10-01-2020,07:02:08,2857
@bitcoin2020conf 😉,10-01-2020,06:58:23,3262
Bitcoin is *not* my safe word,10-01-2020,06:53:10,130080
